Stock,FC_Year,ModelLabel,Age,PointFC,AvgRankByAge,p10,p25,p50,p75,p90,System
Wenatchee,2021,TimeSeriesExpSmoothNoBC,Age 4,39146,4,2794,9261,39173,107842,236731,Columbia River
Wenatchee,2021,TimeSeriesExpSmoothNoBC,Age 5,1583,6.5,115,358,1231,3538,8287,Columbia River
Wenatchee,2021,TimeSeriesExpSmoothNoBC,Total,40919,2.3333333333333335,5240,14899,36644,76306,138649,Columbia River
Wenatchee,2022,Naive4,Age 3,10,6.666666666666667,-0,0,6,39,117,Columbia River
Wenatchee,2022,Naive4,Age 4,26320,5.083333333333333,1885,5722,20241,62214,148160,Columbia River
Wenatchee,2022,Naive4,Age 5,4697,8.166666666666666,218,774,3301,15868,33397,Columbia River
Wenatchee,2022,Naive4,Total,31027,3.6666666666666665,6090,12546,27151,57576,102173,Columbia River
Wenatchee,2022,Naive8,Age 3,136,7.5,16,45,114,277,477,Columbia River
Wenatchee,2022,Naive8,Age 4,52866,3.1666666666666665,6451,16440,44615,104310,197670,Columbia River
Wenatchee,2022,Naive8,Age 5,10354,7.166666666666667,783,2592,9918,26574,77317,Columbia River
Wenatchee,2022,Naive8,Total,63355,5,16045,26634,55783,101235,154121,Columbia River
Wenatchee,2022,SibRegSimple,Age 3,8,3.3333333333333335,-0,2,6,17,33,Columbia River
Wenatchee,2022,SibRegSimple,Age 4,137,8.5,21,44,107,250,515,Columbia River
Wenatchee,2022,SibRegSimple,Age 5,6481,1,1759,3210,5343,9480,13931,Columbia River
Wenatchee,2022,SibRegSimple,Total,6626,9,2880,4178,5888,8327,10784,Columbia River
Wenatchee,2022,SibRegLogPower,Age 3,8,3.3333333333333335,0,2,6,16,30,Columbia River
Wenatchee,2022,SibRegLogPower,Age 4,38305,6.666666666666667,6702,15027,34690,69525,115296,Columbia River
Wenatchee,2022,SibRegLogPower,Age 5,10574,3.5,1400,3202,8912,22446,42562,Columbia River
Wenatchee,2022,SibRegLogPower,Total,48887,7.5,17162,26901,41195,68023,93944,Columbia River
Wenatchee,2022,SibRegKalman,Age 3,8,3.3333333333333335,-0,1,6,17,32,Columbia River
Wenatchee,2022,SibRegKalman,Age 4,32738,1.6666666666666667,4195,10926,32142,71942,125405,Columbia River
Wenatchee,2022,SibRegKalman,Age 5,7581,2.3333333333333335,1040,2762,6974,16760,29537,Columbia River
Wenatchee,2022,SibRegKalman,Total,40327,2.25,9549,18242,33655,58854,102195,Columbia River
Wenatchee,2022,TimeSeriesArimaBC,Age 3,7,5,0,2,6,16,33,Columbia River
Wenatchee,2022,TimeSeriesArimaBC,Age 4,39809,6.333333333333333,3429,9520,31698,92090,183318,Columbia River
Wenatchee,2022,TimeSeriesArimaBC,Age 5,8296,4.166666666666667,539,1954,5955,20130,58033,Columbia River
Wenatchee,2022,TimeSeriesArimaBC,Total,48112,5.5,8921,18296,39276,79475,129237,Columbia River
Wenatchee,2022,TimeSeriesArimaNoBC,Age 3,0,1.6666666666666667,0,0,0,1,2,Columbia River
Wenatchee,2022,TimeSeriesArimaNoBC,Age 4,34565,6.5,1238,6559,28319,113198,346477,Columbia River
Wenatchee,2022,TimeSeriesArimaNoBC,Age 5,12200,7,306,1644,8073,47073,159959,Columbia River
Wenatchee,2022,TimeSeriesArimaNoBC,Total,46766,6.166666666666667,11451,20509,41730,83532,134509,Columbia River
Wenatchee,2022,TimeSeriesExpSmoothBC,Age 3,8,5.833333333333333,0,2,6,17,33,Columbia River
Wenatchee,2022,TimeSeriesExpSmoothBC,Age 4,45561,4.75,3402,11571,35362,75612,153719,Columbia River
Wenatchee,2022,TimeSeriesExpSmoothBC,Age 5,8343,5.333333333333333,585,1971,6477,24004,55914,Columbia River
Wenatchee,2022,TimeSeriesExpSmoothBC,Total,53912,4.5,8918,19069,40648,82876,144686,Columbia River
Wenatchee,2022,TimeSeriesExpSmoothNoBC,Age 3,245,8.333333333333334,9,36,135,510,1588,Columbia River
Wenatchee,2022,TimeSeriesExpSmoothNoBC,Age 4,41686,2.3333333333333335,3919,10503,30227,92561,167614,Columbia River
Wenatchee,2022,TimeSeriesExpSmoothNoBC,Age 5,7567,6.333333333333333,269,1050,6137,21740,77790,Columbia River
Wenatchee,2022,TimeSeriesExpSmoothNoBC,Total,49497,1.4166666666666667,7842,16974,40995,79851,131529,Columbia River
Wenatchee,2023,Naive4,Age 3,10,6.666666666666667,0,1,8,42,125,Columbia River
Wenatchee,2023,Naive4,Age 4,57743,6.333333333333333,3961,14170,44990,150831,344213,Columbia River
Wenatchee,2023,Naive4,Age 5,5805,8.166666666666666,331,1096,4982,18393,44022,Columbia River
Wenatchee,2023,Naive4,Total,63558,6.5,6533,18448,47111,121284,281974,Columbia River
Wenatchee,2023,Naive8,Age 3,5,7.5,0,1,5,11,21,Columbia River
Wenatchee,2023,Naive8,Age 4,57366,1.3333333333333333,5573,15892,53775,125937,257342,Columbia River
Wenatchee,2023,Naive8,Age 5,11024,7.166666666666667,960,2808,8761,25966,58081,Columbia River
Wenatchee,2023,Naive8,Total,68395,1.8333333333333333,12250,25378,53286,112613,183915,Columbia River
Wenatchee,2023,SibRegSimple,Age 3,8,4.166666666666667,-0,2,6,14,25,Columbia River
Wenatchee,2023,SibRegSimple,Age 4,137,9,10,32,96,332,696,Columbia River
Wenatchee,2023,SibRegSimple,Age 5,27295,1,8093,14070,24569,38488,54332,Columbia River
Wenatchee,2023,SibRegSimple,Total,27439,9,9344,14603,25087,40320,57586,Columbia River
Wenatchee,2023,SibRegLogPower,Age 3,8,4.166666666666667,-0,2,6,16,31,Columbia River
Wenatchee,2023,SibRegLogPower,Age 4,47211,4.333333333333333,7083,15300,38465,104309,199697,Columbia River
Wenatchee,2023,SibRegLogPower,Age 5,22818,4.166666666666667,3723,8307,18630,39084,68377,Columbia River
Wenatchee,2023,SibRegLogPower,Total,70037,5.25,13949,28403,58073,110706,181493,Columbia River
Wenatchee,2023,SibRegKalman,Age 3,8,4.166666666666667,0,2,7,16,29,Columbia River
Wenatchee,2023,SibRegKalman,Age 4,38824,3.4166666666666665,3093,9103,31132,90006,183559,Columbia River
